NewID,OriginalID,Goodsample,Cutoffmanual,gap_manual,species,donor,0h read 1,0h read2,2h read1,2h read2,8h read1,8h read2
StrainAtlasProphage_011,BA-01_B01,1,,,Bifidobacterium_adolescentis,H209,BP3_1_BA-01-0h_B01_R1_001.fastq.gz,BP3_1_BA-01-0h_B01_R2_001.fastq.gz,BP3_1_BA-01-2h_B01_R1_001.fastq.gz,BP3_1_BA-01-2h_B01_R2_001.fastq.gz,BP3_1_BA-01-8h_B01_R1_001.fastq.gz,BP3_1_BA-01-8h_B01_R2_001.fastq.gz
StrainAtlasProphage_012,BA-01_B02,1,,,Bifidobacterium_adolescentis,H234,BP3_1_BA-01-0h_B02_R1_001.fastq.gz,BP3_1_BA-01-0h_B02_R2_001.fastq.gz,BP3_1_BA-01-2h_B02_R1_001.fastq.gz,BP3_1_BA-01-2h_B02_R2_001.fastq.gz,BP3_1_BA-01-8h_B02_R1_001.fastq.gz,BP3_1_BA-01-8h_B02_R2_001.fastq.gz
StrainAtlasProphage_013,BA-01_B03,1,,,Bifidobacterium_adolescentis,H247,BP3_1_BA-01-0h_B03_R1_001.fastq.gz,BP3_1_BA-01-0h_B03_R2_001.fastq.gz,BP3_1_BA-01-2h_B03_R1_001.fastq.gz,BP3_1_BA-01-2h_B03_R2_001.fastq.gz,BP3_1_BA-01-8h_B03_R1_001.fastq.gz,BP3_1_BA-01-8h_B03_R2_001.fastq.gz
StrainAtlasProphage_014,BA-01_B04,1,,,Bifidobacterium_adolescentis,H268,BP3_1_BA-01-0h_B04_R1_001.fastq.gz,BP3_1_BA-01-0h_B04_R2_001.fastq.gz,BP3_1_BA-01-2h_B04_R1_001.fastq.gz,BP3_1_BA-01-2h_B04_R2_001.fastq.gz,BP3_1_BA-01-8h_B04_R1_001.fastq.gz,BP3_1_BA-01-8h_B04_R2_001.fastq.gz
StrainAtlasProphage_015,BA-01_B05,1,,,Bifidobacterium_adolescentis,H288,BP3_1_BA-01-0h_B05_R1_001.fastq.gz,BP3_1_BA-01-0h_B05_R2_001.fastq.gz,BP3_1_BA-01-2h_B05_R1_001.fastq.gz,BP3_1_BA-01-2h_B05_R2_001.fastq.gz,BP3_1_BA-01-8h_B05_R1_001.fastq.gz,BP3_1_BA-01-8h_B05_R2_001.fastq.gz
StrainAtlasProphage_016,BA-01_B06,1,,,Bifidobacterium_adolescentis,H319,BP3_1_BA-01-0h_B06_R1_001.fastq.gz,BP3_1_BA-01-0h_B06_R2_001.fastq.gz,BP3_1_BA-01-2h_B06_R1_001.fastq.gz,BP3_1_BA-01-2h_B06_R2_001.fastq.gz,BP3_1_BA-01-8h_B06_R1_001.fastq.gz,BP3_1_BA-01-8h_B06_R2_001.fastq.gz
StrainAtlasProphage_017,BA-01_B07,1,,,Bifidobacterium_adolescentis,H347,BP3_1_BA-01-0h_B07_R1_001.fastq.gz,BP3_1_BA-01-0h_B07_R2_001.fastq.gz,BP3_1_BA-01-2h_B07_R1_001.fastq.gz,BP3_1_BA-01-2h_B07_R2_001.fastq.gz,BP3_1_BA-01-8h_B07_R1_001.fastq.gz,BP3_1_BA-01-8h_B07_R2_001.fastq.gz
StrainAtlasProphage_018,BA-01_B08,1,,,Bifidobacterium_adolescentis,H76,BP3_1_BA-01-0h_B08_R1_001.fastq.gz,BP3_1_BA-01-0h_B08_R2_001.fastq.gz,BP3_1_BA-01-2h_B08_R1_001.fastq.gz,BP3_1_BA-01-2h_B08_R2_001.fastq.gz,BP3_1_BA-01-8h_B08_R1_001.fastq.gz,BP3_1_BA-01-8h_B08_R2_001.fastq.gz
StrainAtlasProphage_019,BA-01_B09,1,10,,Bifidobacterium_adolescentis,P77,BP3_1_BA-01-0h_B09_R1_001.fastq.gz,BP3_1_BA-01-0h_B09_R2_001.fastq.gz,BP3_1_BA-01-2h_B09_R1_001.fastq.gz,BP3_1_BA-01-2h_B09_R2_001.fastq.gz,BP3_1_BA-01-8h_B09_R1_001.fastq.gz,BP3_1_BA-01-8h_B09_R2_001.fastq.gz
StrainAtlasProphage_020,BA-01_B10,1,10,,Bifidobacterium_adolescentis,H92,BP3_1_BA-01-0h_B10_R1_001.fastq.gz,BP3_1_BA-01-0h_B10_R2_001.fastq.gz,BP3_1_BA-01-2h_B10_R1_001.fastq.gz,BP3_1_BA-01-2h_B10_R2_001.fastq.gz,BP3_1_BA-01-8h_B10_R1_001.fastq.gz,BP3_1_BA-01-8h_B10_R2_001.fastq.gz
StrainAtlasProphage_021,BA-01_B11,1,,,Bifidobacterium_adolescentis,H96,BP3_1_BA-01-0h_B11_R1_001.fastq.gz,BP3_1_BA-01-0h_B11_R2_001.fastq.gz,BP3_1_BA-01-2h_B11_R1_001.fastq.gz,BP3_1_BA-01-2h_B11_R2_001.fastq.gz,BP3_1_BA-01-8h_B11_R1_001.fastq.gz,BP3_1_BA-01-8h_B11_R2_001.fastq.gz
StrainAtlasProphage_022,BA-01_B12,1,,,Bifidobacterium_adolescentis,P77,BP3_1_BA-01-0h_B12_R1_001.fastq.gz,BP3_1_BA-01-0h_B12_R2_001.fastq.gz,BP3_1_BA-01-2h_B12_R1_001.fastq.gz,BP3_1_BA-01-2h_B12_R2_001.fastq.gz,BP3_1_BA-01-8h_B12_R1_001.fastq.gz,BP3_1_BA-01-8h_B12_R2_001.fastq.gz
StrainAtlasProphage_023,BA-01_C01,1,,,Bifidobacterium_adolescentis,H212,BP3_1_BA-01-0h_C01_R1_001.fastq.gz,BP3_1_BA-01-0h_C01_R2_001.fastq.gz,BP3_1_BA-01-2h_C01_R1_001.fastq.gz,BP3_1_BA-01-2h_C01_R2_001.fastq.gz,BP3_1_BA-01-8h_C01_R1_001.fastq.gz,BP3_1_BA-01-8h_C01_R2_001.fastq.gz
StrainAtlasProphage_024,BA-01_C02,1,,,Bifidobacterium_adolescentis,H240,BP3_1_BA-01-0h_C02_R1_001.fastq.gz,BP3_1_BA-01-0h_C02_R2_001.fastq.gz,BP3_1_BA-01-2h_C02_R1_001.fastq.gz,BP3_1_BA-01-2h_C02_R2_001.fastq.gz,BP3_1_BA-01-8h_C02_R1_001.fastq.gz,BP3_1_BA-01-8h_C02_R2_001.fastq.gz
StrainAtlasProphage_025,BA-01_C03,1,,,Bifidobacterium_adolescentis,H246,BP3_1_BA-01-0h_C03_R1_001.fastq.gz,BP3_1_BA-01-0h_C03_R2_001.fastq.gz,BP3_1_BA-01-2h_C03_R1_001.fastq.gz,BP3_1_BA-01-2h_C03_R2_001.fastq.gz,BP3_1_BA-01-8h_C03_R1_001.fastq.gz,BP3_1_BA-01-8h_C03_R2_001.fastq.gz
StrainAtlasProphage_026,BA-01_C04,1,,,Bifidobacterium_adolescentis,H267,BP3_1_BA-01-0h_C04_R1_001.fastq.gz,BP3_1_BA-01-0h_C04_R2_001.fastq.gz,BP3_1_BA-01-2h_C04_R1_001.fastq.gz,BP3_1_BA-01-2h_C04_R2_001.fastq.gz,BP3_1_BA-01-8h_C04_R1_001.fastq.gz,BP3_1_BA-01-8h_C04_R2_001.fastq.gz
StrainAtlasProphage_027,BA-01_C05,1,,,Bifidobacterium_adolescentis,H287,BP3_1_BA-01-0h_C05_R1_001.fastq.gz,BP3_1_BA-01-0h_C05_R2_001.fastq.gz,BP3_1_BA-01-2h_C05_R1_001.fastq.gz,BP3_1_BA-01-2h_C05_R2_001.fastq.gz,BP3_1_BA-01-8h_C05_R1_001.fastq.gz,BP3_1_BA-01-8h_C05_R2_001.fastq.gz
StrainAtlasProphage_028,BA-01_C06,1,,,Bifidobacterium_adolescentis,H318,BP3_1_BA-01-0h_C06_R1_001.fastq.gz,BP3_1_BA-01-0h_C06_R2_001.fastq.gz,BP3_1_BA-01-2h_C06_R1_001.fastq.gz,BP3_1_BA-01-2h_C06_R2_001.fastq.gz,BP3_1_BA-01-8h_C06_R1_001.fastq.gz,BP3_1_BA-01-8h_C06_R2_001.fastq.gz
StrainAtlasProphage_029,BA-01_C07,1,,,Bifidobacterium_longum,H85,BP3_1_BA-01-0h_C07_R1_001.fastq.gz,BP3_1_BA-01-0h_C07_R2_001.fastq.gz,BP3_1_BA-01-2h_C07_R1_001.fastq.gz,BP3_1_BA-01-2h_C07_R2_001.fastq.gz,BP3_1_BA-01-8h_C07_R1_001.fastq.gz,BP3_1_BA-01-8h_C07_R2_001.fastq.gz
StrainAtlasProphage_030,BA-01_C08,1,,,Bifidobacterium_adolescentis,H75,BP3_1_BA-01-0h_C08_R1_001.fastq.gz,BP3_1_BA-01-0h_C08_R2_001.fastq.gz,BP3_1_BA-01-2h_C08_R1_001.fastq.gz,BP3_1_BA-01-2h_C08_R2_001.fastq.gz,BP3_1_BA-01-8h_C08_R1_001.fastq.gz,BP3_1_BA-01-8h_C08_R2_001.fastq.gz
StrainAtlasProphage_031,BA-01_C10,1,,,Bifidobacterium_adolescentis,H90,BP3_1_BA-01-0h_C10_R1_001.fastq.gz,BP3_1_BA-01-0h_C10_R2_001.fastq.gz,BP3_1_BA-01-2h_C10_R1_001.fastq.gz,BP3_1_BA-01-2h_C10_R2_001.fastq.gz,BP3_1_BA-01-8h_C10_R1_001.fastq.gz,BP3_1_BA-01-8h_C10_R2_001.fastq.gz
StrainAtlasProphage_032,BA-01_C11,1,,,Bifidobacterium_adolescentis,H125,BP3_1_BA-01-0h_C11_R1_001.fastq.gz,BP3_1_BA-01-0h_C11_R2_001.fastq.gz,BP3_1_BA-01-2h_C11_R1_001.fastq.gz,BP3_1_BA-01-2h_C11_R2_001.fastq.gz,BP3_1_BA-01-8h_C11_R1_001.fastq.gz,BP3_1_BA-01-8h_C11_R2_001.fastq.gz
StrainAtlasProphage_033,BA-01_C12,1,,,Bifidobacterium_adolescentis,H347,BP3_1_BA-01-0h_C12_R1_001.fastq.gz,BP3_1_BA-01-0h_C12_R2_001.fastq.gz,BP3_1_BA-01-2h_C12_R1_001.fastq.gz,BP3_1_BA-01-2h_C12_R2_001.fastq.gz,BP3_1_BA-01-8h_C12_R1_001.fastq.gz,BP3_1_BA-01-8h_C12_R2_001.fastq.gz
StrainAtlasProphage_034,BA-01_D01,1,,,Bifidobacterium_adolescentis,H210,BP3_1_BA-01-0h_D01_R1_001.fastq.gz,BP3_1_BA-01-0h_D01_R2_001.fastq.gz,BP3_1_BA-01-2h_D01_R1_001.fastq.gz,BP3_1_BA-01-2h_D01_R2_001.fastq.gz,BP3_1_BA-01-8h_D01_R1_001.fastq.gz,BP3_1_BA-01-8h_D01_R2_001.fastq.gz
StrainAtlasProphage_035,BA-01_D03,1,,,Bifidobacterium_adolescentis,H260,BP3_1_BA-01-0h_D03_R1_001.fastq.gz,BP3_1_BA-01-0h_D03_R2_001.fastq.gz,BP3_1_BA-01-2h_D03_R1_001.fastq.gz,BP3_1_BA-01-2h_D03_R2_001.fastq.gz,BP3_1_BA-01-8h_D03_R1_001.fastq.gz,BP3_1_BA-01-8h_D03_R2_001.fastq.gz
StrainAtlasProphage_036,BA-01_D04,1,,,Bifidobacterium_adolescentis,H266,BP3_1_BA-01-0h_D04_R1_001.fastq.gz,BP3_1_BA-01-0h_D04_R2_001.fastq.gz,BP3_1_BA-01-2h_D04_R1_001.fastq.gz,BP3_1_BA-01-2h_D04_R2_001.fastq.gz,BP3_1_BA-01-8h_D04_R1_001.fastq.gz,BP3_1_BA-01-8h_D04_R2_001.fastq.gz
StrainAtlasProphage_037,BA-01_D05,1,,,Bifidobacterium_adolescentis,H328,BP3_1_BA-01-0h_D05_R1_001.fastq.gz,BP3_1_BA-01-0h_D05_R2_001.fastq.gz,BP3_1_BA-01-2h_D05_R1_001.fastq.gz,BP3_1_BA-01-2h_D05_R2_001.fastq.gz,BP3_1_BA-01-8h_D05_R1_001.fastq.gz,BP3_1_BA-01-8h_D05_R2_001.fastq.gz
StrainAtlasProphage_038,BA-01_D06,1,,,Bifidobacterium_adolescentis,H341,BP3_1_BA-01-0h_D06_R1_001.fastq.gz,BP3_1_BA-01-0h_D06_R2_001.fastq.gz,BP3_1_BA-01-2h_D06_R1_001.fastq.gz,BP3_1_BA-01-2h_D06_R2_001.fastq.gz,BP3_1_BA-01-8h_D06_R1_001.fastq.gz,BP3_1_BA-01-8h_D06_R2_001.fastq.gz
StrainAtlasProphage_039,BA-01_D07,1,,,Bifidobacterium_longum,H86,BP3_1_BA-01-0h_D07_R1_001.fastq.gz,BP3_1_BA-01-0h_D07_R2_001.fastq.gz,BP3_1_BA-01-2h_D07_R1_001.fastq.gz,BP3_1_BA-01-2h_D07_R2_001.fastq.gz,BP3_1_BA-01-8h_D07_R1_001.fastq.gz,BP3_1_BA-01-8h_D07_R2_001.fastq.gz
StrainAtlasProphage_040,BA-01_D08,1,,,Bifidobacterium_adolescentis,H78,BP3_1_BA-01-0h_D08_R1_001.fastq.gz,BP3_1_BA-01-0h_D08_R2_001.fastq.gz,BP3_1_BA-01-2h_D08_R1_001.fastq.gz,BP3_1_BA-01-2h_D08_R2_001.fastq.gz,BP3_1_BA-01-8h_D08_R1_001.fastq.gz,BP3_1_BA-01-8h_D08_R2_001.fastq.gz
StrainAtlasProphage_041,BA-01_D09,1,1.5,,Bifidobacterium_adolescentis,H106,BP3_1_BA-01-0h_D09_R1_001.fastq.gz,BP3_1_BA-01-0h_D09_R2_001.fastq.gz,BP3_1_BA-01-2h_D09_R1_001.fastq.gz,BP3_1_BA-01-2h_D09_R2_001.fastq.gz,BP3_1_BA-01-8h_D09_R1_001.fastq.gz,BP3_1_BA-01-8h_D09_R2_001.fastq.gz
StrainAtlasProphage_042,BA-01_D10,1,,,Bifidobacterium_adolescentis,H112,BP3_1_BA-01-0h_D10_R1_001.fastq.gz,BP3_1_BA-01-0h_D10_R2_001.fastq.gz,BP3_1_BA-01-2h_D10_R1_001.fastq.gz,BP3_1_BA-01-2h_D10_R2_001.fastq.gz,BP3_1_BA-01-8h_D10_R1_001.fastq.gz,BP3_1_BA-01-8h_D10_R2_001.fastq.gz
StrainAtlasProphage_043,BA-01_D11,1,,,Bifidobacterium_adolescentis,H124,BP3_1_BA-01-0h_D11_R1_001.fastq.gz,BP3_1_BA-01-0h_D11_R2_001.fastq.gz,BP3_1_BA-01-2h_D11_R1_001.fastq.gz,BP3_1_BA-01-2h_D11_R2_001.fastq.gz,BP3_1_BA-01-8h_D11_R1_001.fastq.gz,BP3_1_BA-01-8h_D11_R2_001.fastq.gz
StrainAtlasProphage_044,BA-01_D12,1,,,Bifidobacterium_adolescentis,H87,BP3_1_BA-01-0h_D12_R1_001.fastq.gz,BP3_1_BA-01-0h_D12_R2_001.fastq.gz,BP3_1_BA-01-2h_D12_R1_001.fastq.gz,BP3_1_BA-01-2h_D12_R2_001.fastq.gz,BP3_1_BA-01-8h_D12_R1_001.fastq.gz,BP3_1_BA-01-8h_D12_R2_001.fastq.gz
StrainAtlasProphage_045,BA-01_E01,1,,,Lacticaseibacillus_paracasei,H237,BP3_1_BA-01-0h_E01_R1_001.fastq.gz,BP3_1_BA-01-0h_E01_R2_001.fastq.gz,BP3_1_BA-01-2h_E01_R1_001.fastq.gz,BP3_1_BA-01-2h_E01_R2_001.fastq.gz,BP3_1_BA-01-8h_E01_R1_001.fastq.gz,BP3_1_BA-01-8h_E01_R2_001.fastq.gz
StrainAtlasProphage_046,BA-01_E02,1,,,Bifidobacterium_adolescentis,H248,BP3_1_BA-01-0h_E02_R1_001.fastq.gz,BP3_1_BA-01-0h_E02_R2_001.fastq.gz,BP3_1_BA-01-2h_E02_R1_001.fastq.gz,BP3_1_BA-01-2h_E02_R2_001.fastq.gz,BP3_1_BA-01-8h_E02_R1_001.fastq.gz,BP3_1_BA-01-8h_E02_R2_001.fastq.gz
StrainAtlasProphage_047,BA-01_E03,1,1.5,,Bifidobacterium_adolescentis,H259,BP3_1_BA-01-0h_E03_R1_001.fastq.gz,BP3_1_BA-01-0h_E03_R2_001.fastq.gz,BP3_1_BA-01-2h_E03_R1_001.fastq.gz,BP3_1_BA-01-2h_E03_R2_001.fastq.gz,BP3_1_BA-01-8h_E03_R1_001.fastq.gz,BP3_1_BA-01-8h_E03_R2_001.fastq.gz
StrainAtlasProphage_048,BA-01_E04,1,,,Bifidobacterium_adolescentis,H270,BP3_1_BA-01-0h_E04_R1_001.fastq.gz,BP3_1_BA-01-0h_E04_R2_001.fastq.gz,BP3_1_BA-01-2h_E04_R1_001.fastq.gz,BP3_1_BA-01-2h_E04_R2_001.fastq.gz,BP3_1_BA-01-8h_E04_R1_001.fastq.gz,BP3_1_BA-01-8h_E04_R2_001.fastq.gz
StrainAtlasProphage_049,BA-01_E05,1,,,Bifidobacterium_adolescentis,H321,BP3_1_BA-01-0h_E05_R1_001.fastq.gz,BP3_1_BA-01-0h_E05_R2_001.fastq.gz,BP3_1_BA-01-2h_E05_R1_001.fastq.gz,BP3_1_BA-01-2h_E05_R2_001.fastq.gz,BP3_1_BA-01-8h_E05_R1_001.fastq.gz,BP3_1_BA-01-8h_E05_R2_001.fastq.gz
StrainAtlasProphage_050,BA-01_E06,1,,,Bifidobacterium_adolescentis,H342,BP3_1_BA-01-0h_E06_R1_001.fastq.gz,BP3_1_BA-01-0h_E06_R2_001.fastq.gz,BP3_1_BA-01-2h_E06_R1_001.fastq.gz,BP3_1_BA-01-2h_E06_R2_001.fastq.gz,BP3_1_BA-01-8h_E06_R1_001.fastq.gz,BP3_1_BA-01-8h_E06_R2_001.fastq.gz
StrainAtlasProphage_051,BA-01_E07,1,,,Bifidobacterium_adolescentis,H87,BP3_1_BA-01-0h_E07_R1_001.fastq.gz,BP3_1_BA-01-0h_E07_R2_001.fastq.gz,BP3_1_BA-01-2h_E07_R1_001.fastq.gz,BP3_1_BA-01-2h_E07_R2_001.fastq.gz,BP3_1_BA-01-8h_E07_R1_001.fastq.gz,BP3_1_BA-01-8h_E07_R2_001.fastq.gz
StrainAtlasProphage_052,BA-01_E08,1,,,Bifidobacterium_adolescentis,H77,BP3_1_BA-01-0h_E08_R1_001.fastq.gz,BP3_1_BA-01-0h_E08_R2_001.fastq.gz,BP3_1_BA-01-2h_E08_R1_001.fastq.gz,BP3_1_BA-01-2h_E08_R2_001.fastq.gz,BP3_1_BA-01-8h_E08_R1_001.fastq.gz,BP3_1_BA-01-8h_E08_R2_001.fastq.gz
StrainAtlasProphage_053,BA-01_E09,1,,,Bifidobacterium_adolescentis,H107,BP3_1_BA-01-0h_E09_R1_001.fastq.gz,BP3_1_BA-01-0h_E09_R2_001.fastq.gz,BP3_1_BA-01-2h_E09_R1_001.fastq.gz,BP3_1_BA-01-2h_E09_R2_001.fastq.gz,BP3_1_BA-01-8h_E09_R1_001.fastq.gz,BP3_1_BA-01-8h_E09_R2_001.fastq.gz
StrainAtlasProphage_054,BA-01_E10,1,,,Bifidobacterium_adolescentis,H111,BP3_1_BA-01-0h_E10_R1_001.fastq.gz,BP3_1_BA-01-0h_E10_R2_001.fastq.gz,BP3_1_BA-01-2h_E10_R1_001.fastq.gz,BP3_1_BA-01-2h_E10_R2_001.fastq.gz,BP3_1_BA-01-8h_E10_R1_001.fastq.gz,BP3_1_BA-01-8h_E10_R2_001.fastq.gz
StrainAtlasProphage_055,BA-01_E11,1,,,Bifidobacterium_adolescentis,H126,BP3_1_BA-01-0h_E11_R1_001.fastq.gz,BP3_1_BA-01-0h_E11_R2_001.fastq.gz,BP3_1_BA-01-2h_E11_R1_001.fastq.gz,BP3_1_BA-01-2h_E11_R2_001.fastq.gz,BP3_1_BA-01-8h_E11_R1_001.fastq.gz,BP3_1_BA-01-8h_E11_R2_001.fastq.gz
StrainAtlasProphage_056,BA-01_E12,1,,,Bifidobacterium_adolescentis,H349,BP3_1_BA-01-0h_E12_R1_001.fastq.gz,BP3_1_BA-01-0h_E12_R2_001.fastq.gz,BP3_1_BA-01-2h_E12_R1_001.fastq.gz,BP3_1_BA-01-2h_E12_R2_001.fastq.gz,BP3_1_BA-01-8h_E12_R1_001.fastq.gz,BP3_1_BA-01-8h_E12_R2_001.fastq.gz
StrainAtlasProphage_057,BA-01_F01,1,,,Bifidobacterium_adolescentis,H242,BP3_1_BA-01-0h_F01_R1_001.fastq.gz,BP3_1_BA-01-0h_F01_R2_001.fastq.gz,BP3_1_BA-01-2h_F01_R1_001.fastq.gz,BP3_1_BA-01-2h_F01_R2_001.fastq.gz,BP3_1_BA-01-8h_F01_R1_001.fastq.gz,BP3_1_BA-01-8h_F01_R2_001.fastq.gz
StrainAtlasProphage_058,BA-01_F02,1,,,Bifidobacterium_adolescentis,H251,BP3_1_BA-01-0h_F02_R1_001.fastq.gz,BP3_1_BA-01-0h_F02_R2_001.fastq.gz,BP3_1_BA-01-2h_F02_R1_001.fastq.gz,BP3_1_BA-01-2h_F02_R2_001.fastq.gz,BP3_1_BA-01-8h_F02_R1_001.fastq.gz,BP3_1_BA-01-8h_F02_R2_001.fastq.gz
StrainAtlasProphage_059,BA-01_F03,1,,,Bifidobacterium_adolescentis,H258,BP3_1_BA-01-0h_F03_R1_001.fastq.gz,BP3_1_BA-01-0h_F03_R2_001.fastq.gz,BP3_1_BA-01-2h_F03_R1_001.fastq.gz,BP3_1_BA-01-2h_F03_R2_001.fastq.gz,BP3_1_BA-01-8h_F03_R1_001.fastq.gz,BP3_1_BA-01-8h_F03_R2_001.fastq.gz
StrainAtlasProphage_060,BA-01_F04,1,,,Bifidobacterium_adolescentis,H270,BP3_1_BA-01-0h_F04_R1_001.fastq.gz,BP3_1_BA-01-0h_F04_R2_001.fastq.gz,BP3_1_BA-01-2h_F04_R1_001.fastq.gz,BP3_1_BA-01-2h_F04_R2_001.fastq.gz,BP3_1_BA-01-8h_F04_R1_001.fastq.gz,BP3_1_BA-01-8h_F04_R2_001.fastq.gz
StrainAtlasProphage_061,BA-01_F05,1,,,Bifidobacterium_adolescentis,H322,BP3_1_BA-01-0h_F05_R1_001.fastq.gz,BP3_1_BA-01-0h_F05_R2_001.fastq.gz,BP3_1_BA-01-2h_F05_R1_001.fastq.gz,BP3_1_BA-01-2h_F05_R2_001.fastq.gz,BP3_1_BA-01-8h_F05_R1_001.fastq.gz,BP3_1_BA-01-8h_F05_R2_001.fastq.gz
StrainAtlasProphage_062,BA-01_F06,1,,,Bifidobacterium_adolescentis,H344,BP3_1_BA-01-0h_F06_R1_001.fastq.gz,BP3_1_BA-01-0h_F06_R2_001.fastq.gz,BP3_1_BA-01-2h_F06_R1_001.fastq.gz,BP3_1_BA-01-2h_F06_R2_001.fastq.gz,BP3_1_BA-01-8h_F06_R1_001.fastq.gz,BP3_1_BA-01-8h_F06_R2_001.fastq.gz
StrainAtlasProphage_063,BA-01_F07,1,,,Bifidobacterium_adolescentis,H84,BP3_1_BA-01-0h_F07_R1_001.fastq.gz,BP3_1_BA-01-0h_F07_R2_001.fastq.gz,BP3_1_BA-01-2h_F07_R1_001.fastq.gz,BP3_1_BA-01-2h_F07_R2_001.fastq.gz,BP3_1_BA-01-8h_F07_R1_001.fastq.gz,BP3_1_BA-01-8h_F07_R2_001.fastq.gz
