Ratio of isolates with the defense system,AbiN,DmdDE,AbiP2,PD-T4-1,PD-T7-4,PD-T7-3,Tiamat,Hna,MqsRAC,AbiA,Phrann_gp29_gp30,Dodola,Dazbog,Menshen,Olokun,PD-T4-9,AbiR,RADAR,Pycsar,dGTPase,Borvo,RM,Uzume,Aditi,Retron,Dnd,Gao_Ppl,NLR,Butters_gp30_gp31,FS_HP_SDH_sah,Bunzi,SpbK,Rst_TIR-NLR,Rst_gop_beta_cll,RosmerTA,Dsr,RexAB,Stk2,MazEF,PD-T4-8,AbiE,SanaTA,Rst_RT-nitrilase-Tm,PD-Lambda-6,Avs,Gabija,PD-Lambda-4,DRT,RloC,Gao_RL,Paris,AbiI,GAPS4,Abi2,DarTG,Gao_Tmn,Druantia,Shango,Mok_Hok_Sok,Lamassu-Fam,SEFIR,FS_GIY_YIG,PD-Lambda-3,PD-T7-1,Hachiman,FS_HsdR_like,MADS,PD-Lambda-1,PrrC,AbiG,Gao_Hhe,PD-T7-5,Gao_Qat,Eleos,Shedu,Rst_HelicaseDUF2290,DISARM,PD-T4-4,Lit,PfiAT,SspBCDE,RnlAB,BstA,ShosTA,GAPS1,Nhi,AbiV,Thoeris,CBASS,PD-T4-2,Gao_Her,PD-T4-3,AbiC,Septu,Azaca,Dpd,Gao_Iet,PD-T4-10,AbiU,GAPS6,AbiK,Butters_gp57r,AbiL,Rst_Hydrolase-3Tm,BREX,Kiwa,dCTPdeaminase,FS_Sma,pAgo,AbiZ,AbiT,AbiQ,JukAB,AbiH,PD-T7-2,CapRel,SoFIC,Old_exonuclease,Mokosh,Zorya,PD-Lambda-5,PD-T4-6,Rst_DUF4238,PD-Lambda-2,AbiJ,PsyrTA,Rst_3HP,AbiO,Gao_Ape,AbiD,Gao_Mza,CasFinder,Detocs,Pif,PD-T4-5,PD-T4-7,Wadjet
Bifidobacterium_bifidum,0,0,0,0,0,0,0,0,0,0,0.008849557522123894,0,0,0,0,0,0,0,0,0,0,0.9911504424778761,0,0,0,0,0,0,0,0,0,0,0,0,0.20353982300884957,0,0,0,0,0,0,0,0,0,0,0.061946902654867256,0,0,0.04424778761061947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017699115044247787,0,0.017699115044247787,0,0,0,0,0,0,0.5221238938053098,0,0,0,0,0,0,0,0,0,0.08849557522123894,0,0,0,0,0,0,0,0,0,0,0.2920353982300885,0,0,0,0,0,0,0,0,0,0.22123893805309736,0,0.017699115044247787,0,0,0,0.008849557522123894,0,0,0,0,0,0,0,0,0.415929203539823,0,0.39823008849557523,0,0,0,0,0.9646017699115044
Bifidobacterium_longum,0,0,0,0,0,0,0,0,0,0,0.012147078135259356,0,0,0,0,0,0,0,0,0,0,0.9392646093237033,0,0,0,0,0,0,0,0,0,0,0,0,0.3818122127380171,0,0,0,0,0,0,0,0,0,0,0.005909389363099146,0,0,0.01871306631648063,0,0,0,0,0.010505581089954037,0,0,0,0,0,0.2124097176625082,0,0,0,0,0.0006565988181221273,0,0,0.00886408404464872,0,0,0,0,0,0,0.024622455679579776,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14149704530531845,0,0,0,0,0.00032829940906106366,0,0,0,0,0.11588969139855548,0,0,0,0,0,0.21864740643466843,0,0,0,0,0,0,0,0,0.3154957321076822,0.002954694681549573,0,0.004924491135915955,0,0,0,0.004596191726854892,0,0,0,0,0,0,0,0,0.21569271175311885,0,0.4816152330925804,0,0,0,0,0.9645436638214051
Bifidobacterium_angulatum,0.01694915254237288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1016949152542373,0,0,0.9491525423728814,0,0,0,0,0,0,0,0,0,0,0,0,0.11864406779661017,0,0,0,0.01694915254237288,0,0,0,0,0,0,0.2542372881355932,0,0,0,0,0,0,0,0.15254237288135594,0,0,0.05084745762711865,0,0,0.06779661016949153,0,0,0,0,0,0,0,0.03389830508474576,0,0,0,0,0,0,0,0,0.01694915254237288,0,0,0,0,0,0,0,0,0,0,0,0.13559322033898305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01694915254237288,0.01694915254237288,0,0,0,0,0,0,0,0.0847457627118644,0.1016949152542373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2033898305084746,0,0.864406779661017,0,0,0,0,1.0
Bifidobacterium_animalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98989898989899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1.0
Asaccharospora_irregularis,0,0,0,0,0,0,0.1111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,0,0.1111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2222222222222222,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,0.1111111111111111,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,0,0.1111111111111111,0,0.4444444444444444,0,0,0,0,0,0,0,0,0.5555555555555556,0,0.7777777777777778,0,0,0,0,0.8888888888888888
Sarcina_perfringens,0,0,0,0,0,0,0,0.15584415584415584,0,0,0,0.15584415584415584,0,0,0,0.025974025974025976,0.025974025974025976,0,0.012987012987012988,0,0,0.948051948051948,0,0,0,0.14285714285714285,0,0,0,0,0.06493506493506493,0,0,0,0,0,0,0.012987012987012988,0,0,0,0,0,0,0.012987012987012988,0.07792207792207792,0,0.2597402597402597,0,0.12987012987012986,0.025974025974025976,0.012987012987012988,0,0.012987012987012988,0.025974025974025976,0,0,0.025974025974025976,0,0.1038961038961039,0.025974025974025976,0.03896103896103896,0,0,0.03896103896103896,0,0,0.3246753246753247,0,0,0,0,0.05194805194805195,0.03896103896103896,0,0,0,0,0,0,0.012987012987012988,0.07792207792207792,0,0,0,0,0,0.012987012987012988,0.05194805194805195,0,0,0,0,0.05194805194805195,0,0,0.012987012987012988,0,0.012987012987012988,0,0,0,0,0,0.05194805194805195,0.012987012987012988,0,0,0.06493506493506493,0,0,0,0,0.11688311688311688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06493506493506493,0,0.45454545454545453,0,0,0,0.025974025974025976,0.06493506493506493
Bariatricus_comes,0,0,0,0,0,0,0,0,0,0,0,0.045454545454545456,0,0.13636363636363635,0,0,0,0,0.045454545454545456,0,0,0.9545454545454546,0,0,0.045454545454545456,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8636363636363636,0,0,0.18181818181818182,0,0,0,0.18181818181818182,0,0,0,0,0,0,0,0.045454545454545456,0.045454545454545456,0,0,0,0,0.09090909090909091,0,0,0,0,0.13636363636363635,0,0,0.18181818181818182,0,0,0,0,0.045454545454545456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045454545454545456,0.22727272727272727,0,0,0,0,0,0.045454545454545456,0,0,0,0,0,0,0,0.5,0,0.13636363636363635,0,0,0,0,0,0,0,0,0.045454545454545456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36363636363636365,0,0.5909090909090909,0,0,0,0,1.0
Dorea_A_longicatena,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0.06666666666666667,0,0.13333333333333333,0,0,0,0,0,0,0,1.0,0,0,0.06666666666666667,0,0,0,0,0,0,0.26666666666666666,0,0,0,0,0,0,0.06666666666666667,0,0,0,0,0,0,0.26666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0.2,0,0,0,0,0.26666666666666666,0,0,0,0,0,0,0,0,0.6666666666666666,0,0,0,0,0,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4666666666666667,0,0.4,0,0,0,0,1.0
Blautia_A_massiliensis,0,0.2727272727272727,0,0,0,0,0,0,0,0,0,0.2727272727272727,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45454545454545453,0,0,0,0.09090909090909091,0,0.09090909090909091,0,0,0,0,0,0,0,0,0.09090909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0.09090909090909091,0,0,0,0.09090909090909091,0,0,0,0,0,0,0,0,1.0,0,0.09090909090909091,0,0,0,0,0,0.5454545454545454,0,0,0,0,0,0,0,0,0,0,0.6363636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5454545454545454,0,0,0,0,0
Flavonifractor_plautii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,1.0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0.45,0,0,0,0.15,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.05,0.1,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0.05
Veillonella_atypica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.32,0,0.16,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0.04,0.04,0,0,0,0.04,0,0,0,0,0,0,0,0,0.16,0,0.12,0,0,0,0,0,0,0,0,0,0.04,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0.64,0,0,0,0,0
Veillonella_nakazawae,0,0,0,0,0,0.03225806451612903,0,0.03225806451612903,0,0,0,0,0,0,0,0.1935483870967742,0,0,0.03225806451612903,0,0,0.967741935483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03225806451612903,0,0,0,0,0,0,0.03225806451612903,0,0,0,0,0.03225806451612903,0,0,0.12903225806451613,0,0,0,0,0,0.03225806451612903,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03225806451612903,0,0,0,0,0,0,0,0,0,0.1935483870967742,0,0,0,0.06451612903225806,0.03225806451612903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03225806451612903,0,0,0,0,0,0.03225806451612903,0,0,0,0.03225806451612903,0,0.12903225806451613,0,0,0,0,0,0,0,0.0967741935483871,0,0,0,0,0.3870967741935484,0,0.16129032258064516,0,0,0,0.22580645161290322,0
Veillonella_parvula_A,0,0,0,0,0,0.058823529411764705,0,0.38235294117647056,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029411764705882353,0,0.11764705882352941,0.38235294117647056,0,0,0,0,0.2647058823529412,0.029411764705882353,0,0,0,0,0.029411764705882353,0,0,0,0,0.029411764705882353,0,0,0.058823529411764705,0.058823529411764705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6470588235294118,0,0,0,0,0.47058823529411764,0,0,0,0,0,0,0,0.058823529411764705,0,0,0,0,0,0,0,0.029411764705882353,0.029411764705882353,0,0,0,0,0,0.029411764705882353,0,0.29411764705882354,0.08823529411764706,0,0.35294117647058826,0,0,0,0,0,0,0,0,0,0,0,0,0.17647058823529413,0,0.7352941176470589,0,0,0,0.058823529411764705,0
Bacillus_A_cytotoxicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0
Bacillus_A_paranthracis,0,0,0,0,0.23255813953488372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9767441860465116,0,0,0,0,0,0,0,0,0,0.023255813953488372,0,0,0.23255813953488372,0,0,0,0,0,0,0,0,0,0,0.046511627906976744,0,0.023255813953488372,0.23255813953488372,0,0,0,0,0,0.023255813953488372,0,0.023255813953488372,0.046511627906976744,0,0.09302325581395349,0.2558139534883721,0,0,0,0.16279069767441862,0,0,0.023255813953488372,0,0.3488372093023256,0,0,0,0,0.023255813953488372,0,0,0,0,0,0,0.023255813953488372,0,0,0,0,0,0.023255813953488372,0.32558139534883723,0,0,0,0,0.046511627906976744,0,0,0,0,0,0,0,0,0,0,0,0.046511627906976744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06976744186046512,0,0,0,0,0,0,0,0,0,0,0,0.023255813953488372
Robertmurraya_methanolica_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9777777777777777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9777777777777777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0.9777777777777777,0
Bacillus_J_andreraoultii,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7857142857142857,0,0,0,0,0.07142857142857142,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2857142857142857,0,0,0.07142857142857142,0,0,0,0,0.6428571428571429,0,0,0,0,0,0.07142857142857142,0,0,0,0,0,0,0,0,0,0,0,0,0.2857142857142857,0.07142857142857142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07142857142857142,0,0,0,0,0,0,0,0,0,0,0.9285714285714286,0,0,0,0,0,0,0,0,0.07142857142857142,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0,0,0,0,0,0.8571428571428571,0,0,0,0,1.0
Bacillus_J_thermoamylovorans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463768115942029,0,0,0,0,0,0.9855072463768116,0,0,0,0,0,0,0,0,0,0,0,0,0.028985507246376812,0,0,0,0.8695652173913043,0,0.13043478260869565,0,0,0,0,0.10144927536231885,0,0.17391304347826086,0.028985507246376812,0,0,0,0,0,0,0,0,0,0,0.028985507246376812,0,0,0,0,0,0,0,0.028985507246376812,0,0,0,0,0.014492753623188406,0.014492753623188406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10144927536231885,0,0,0,0,0,0,0,0.014492753623188406,0,0,0,0,0,0.30434782608695654,0.043478260869565216,0,0,0,0,0,0,0,0,0,0,0.7971014492753623,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0.014492753623188406,0,0.8260869565217391,0,0,0,0,0.9420289855072463
Turicibacter_sanguinis,0.07692307692307693,0,0,0,0,0,0,0,0,0,0,0.3076923076923077,0,0,0,0,0,0,0.3076923076923077,0,0,0.7692307692307693,0,0,0,0,0,0,0,0,0.038461538461538464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538461538464,0,0,0,0,0,0,0,0.3076923076923077,0,0,0,0,0,0,0,0.038461538461538464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0,0.11538461538461539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15384615384615385,0,0.038461538461538464,0,0,0,0,0.11538461538461539
